epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,5772.02,0.4923,0.42447,0.0384,0.95782,0.93723,0.95851,0.46109,0.52846,0.44212,0.04719,0.0005941,0.0005941,0.0005941
43,5910.22,0.48172,0.42049,0.03562,0.95608,0.93867,0.95743,0.49566,0.49698,0.44517,0.04401,0.0005842,0.0005842,0.0005842
44,6098.03,0.46197,0.42212,0.03755,0.97043,0.93831,0.96549,0.51512,0.49076,0.42795,0.04405,0.0005743,0.0005743,0.0005743
45,6260.44,0.47187,0.42237,0.0376,0.97629,0.95274,0.97305,0.52113,0.4712,0.43121,0.04169,0.0005644,0.0005644,0.0005644
46,6387.19,0.47484,0.4162,0.036,0.97363,0.95429,0.9656,0.50638,0.50071,0.42141,0.04563,0.0005545,0.0005545,0.0005545
47,6520.23,0.44405,0.40578,0.0337,0.95473,0.93176,0.95026,0.47691,0.5204,0.43595,0.04594,0.0005446,0.0005446,0.0005446
48,6779.72,0.45946,0.41691,0.03614,0.97308,0.95705,0.96757,0.51273,0.49104,0.42514,0.04385,0.0005347,0.0005347,0.0005347
49,6947.29,0.48258,0.41718,0.03873,0.96112,0.9377,0.9586,0.50788,0.48781,0.4396,0.04353,0.0005248,0.0005248,0.0005248
50,7049.35,0.45946,0.42038,0.03393,0.97056,0.96976,0.96883,0.51901,0.48484,0.41626,0.04354,0.0005149,0.0005149,0.0005149
51,7167.33,0.44756,0.40756,0.03496,0.9741,0.95634,0.96643,0.50135,0.49349,0.42793,0.04343,0.000505,0.000505,0.000505
52,7309.99,0.45833,0.40788,0.03538,0.96276,0.96402,0.95992,0.51025,0.48773,0.42822,0.04413,0.0004951,0.0004951,0.0004951
53,7440.85,0.45789,0.41268,0.03618,0.96671,0.92821,0.96122,0.49429,0.50377,0.44238,0.04572,0.0004852,0.0004852,0.0004852
54,7531.68,0.46129,0.41163,0.03608,0.96239,0.95654,0.96096,0.47412,0.51919,0.43442,0.04705,0.0004753,0.0004753,0.0004753
55,7696.33,0.46563,0.41316,0.0356,0.9598,0.95373,0.95763,0.49404,0.5095,0.43157,0.04544,0.0004654,0.0004654,0.0004654
56,7867.28,0.44619,0.41753,0.03348,0.95372,0.9563,0.95646,0.4877,0.51299,0.4361,0.04586,0.0004555,0.0004555,0.0004555
57,8029.49,0.46142,0.41552,0.0347,0.96718,0.95616,0.95969,0.50225,0.50773,0.42989,0.04544,0.0004456,0.0004456,0.0004456
58,8119.91,0.43434,0.406,0.03308,0.96994,0.94833,0.96203,0.4935,0.50764,0.43043,0.0459,0.0004357,0.0004357,0.0004357
59,8278.1,0.43375,0.40478,0.03497,0.97514,0.95036,0.96655,0.48474,0.51768,0.42325,0.04699,0.0004258,0.0004258,0.0004258
60,8377.87,0.43009,0.4033,0.03314,0.97143,0.95967,0.96903,0.52241,0.48401,0.42993,0.04341,0.0004159,0.0004159,0.0004159
61,8537.39,0.44201,0.40816,0.034,0.97371,0.95005,0.96586,0.50228,0.49953,0.42337,0.04555,0.000406,0.000406,0.000406
62,8628.24,0.44279,0.40778,0.03442,0.96655,0.95924,0.96533,0.51714,0.4889,0.42858,0.0437,0.0003961,0.0003961,0.0003961
63,8786.37,0.43422,0.40848,0.03462,0.96461,0.95991,0.96793,0.51894,0.48198,0.43345,0.04374,0.0003862,0.0003862,0.0003862
64,8947.15,0.44845,0.40788,0.03428,0.95917,0.94659,0.95534,0.50913,0.50125,0.42599,0.04509,0.0003763,0.0003763,0.0003763
65,9106.7,0.44427,0.40327,0.03388,0.97998,0.97172,0.97741,0.50909,0.50986,0.43378,0.0461,0.0003664,0.0003664,0.0003664
66,9223.46,0.43615,0.41032,0.03222,0.96958,0.96559,0.96547,0.49773,0.49951,0.42193,0.04478,0.0003565,0.0003565,0.0003565
67,9321.99,0.42664,0.40237,0.03157,0.96168,0.95593,0.96154,0.48794,0.51237,0.43893,0.04684,0.0003466,0.0003466,0.0003466
68,9492.41,0.41863,0.40221,0.03134,0.96845,0.96122,0.97591,0.51478,0.49056,0.42639,0.044,0.0003367,0.0003367,0.0003367
69,9593.1,0.41831,0.40073,0.03116,0.96748,0.96589,0.97443,0.52404,0.47861,0.42962,0.04392,0.0003268,0.0003268,0.0003268
70,9735.18,0.41729,0.40199,0.03172,0.96527,0.95758,0.97089,0.52777,0.48112,0.43045,0.0447,0.0003169,0.0003169,0.0003169
71,9818.63,0.41379,0.39948,0.03083,0.96506,0.95268,0.95966,0.50477,0.49734,0.43161,0.04584,0.000307,0.000307,0.000307
72,9918.45,0.39674,0.39091,0.03047,0.95642,0.95172,0.9547,0.49936,0.50859,0.43594,0.0455,0.0002971,0.0002971,0.0002971
73,10072.4,0.42875,0.40005,0.03162,0.96154,0.95295,0.95433,0.48547,0.51673,0.43257,0.04572,0.0002872,0.0002872,0.0002872
74,10153.4,0.41842,0.3968,0.03173,0.95285,0.93942,0.94225,0.45664,0.53992,0.43612,0.04949,0.0002773,0.0002773,0.0002773
75,10263.4,0.4105,0.40081,0.03118,0.96695,0.95513,0.96527,0.49757,0.50844,0.42538,0.04528,0.0002674,0.0002674,0.0002674
76,10426.2,0.4058,0.39203,0.03047,0.96703,0.96667,0.97559,0.50262,0.50631,0.43186,0.0454,0.0002575,0.0002575,0.0002575
77,10572.9,0.39567,0.39432,0.02909,0.97555,0.96922,0.97655,0.51599,0.4893,0.43451,0.04331,0.0002476,0.0002476,0.0002476
78,10726.6,0.38532,0.38872,0.02979,0.97556,0.97262,0.98028,0.51284,0.49491,0.43613,0.0453,0.0002377,0.0002377,0.0002377
79,10821.8,0.39226,0.38482,0.02838,0.96773,0.96594,0.97281,0.51758,0.48438,0.43395,0.04354,0.0002278,0.0002278,0.0002278
80,10937.5,0.39311,0.39241,0.02959,0.96099,0.97335,0.97044,0.50483,0.48971,0.43119,0.04318,0.0002179,0.0002179,0.0002179
81,11048.9,0.38027,0.38505,0.02855,0.9682,0.96267,0.96649,0.51132,0.49409,0.42888,0.0455,0.000208,0.000208,0.000208
82,11166.9,0.37335,0.38239,0.02808,0.97025,0.95874,0.96789,0.51143,0.49361,0.43605,0.04568,0.0001981,0.0001981,0.0001981
83,11317.9,0.37913,0.38595,0.0279,0.97555,0.96475,0.97314,0.51852,0.48945,0.43215,0.04506,0.0001882,0.0001882,0.0001882
84,11467.4,0.365,0.38149,0.02739,0.95642,0.95841,0.96699,0.51163,0.49229,0.43417,0.04338,0.0001783,0.0001783,0.0001783
85,11619.2,0.38305,0.37714,0.029,0.96634,0.9573,0.9728,0.51752,0.48642,0.43481,0.04293,0.0001684,0.0001684,0.0001684
86,11705.8,0.37052,0.37627,0.02746,0.95552,0.96176,0.97129,0.51952,0.48388,0.43522,0.04242,0.0001585,0.0001585,0.0001585
87,11853.6,0.35625,0.3765,0.02552,0.96334,0.96485,0.97089,0.5169,0.48547,0.43903,0.04326,0.0001486,0.0001486,0.0001486
88,11978.3,0.36613,0.38018,0.02666,0.9711,0.96279,0.97043,0.50639,0.49812,0.43546,0.0449,0.0001387,0.0001387,0.0001387
89,12131,0.35853,0.3749,0.02568,0.972,0.96013,0.97231,0.51785,0.48594,0.43511,0.04294,0.0001288,0.0001288,0.0001288
90,12312.6,0.33603,0.3684,0.02451,0.97056,0.96756,0.97128,0.51332,0.49213,0.43414,0.04481,0.0001189,0.0001189,0.0001189
