epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,391.695,1.67261,1.03952,0.90453,0.92323,0.80484,0.87606,0.41394,1.78855,0.95291,0.93548,0.0005842,0.0005842,0.0005842
44,399.309,1.71907,1.05175,0.90419,0.92885,0.80392,0.86984,0.41881,1.77351,0.92924,0.93125,0.0005743,0.0005743,0.0005743
45,406.925,1.66289,1.00164,0.89854,0.88877,0.80509,0.86756,0.41882,1.79586,0.95804,0.94021,0.0005644,0.0005644,0.0005644
46,414.492,1.70256,1.02104,0.90905,0.91629,0.78882,0.86918,0.42184,1.75376,0.96481,0.93006,0.0005545,0.0005545,0.0005545
47,422.092,1.67506,0.99744,0.90256,0.93604,0.80113,0.87296,0.41858,1.77426,0.94364,0.93238,0.0005446,0.0005446,0.0005446
48,429.686,1.70102,1.0205,0.89755,0.91366,0.79331,0.86362,0.42336,1.78811,0.9441,0.9362,0.0005347,0.0005347,0.0005347
49,437.423,1.73802,1.01939,0.90846,0.84894,0.83052,0.8705,0.41485,1.79975,0.9665,0.93498,0.0005248,0.0005248,0.0005248
50,445.224,1.68384,0.98109,0.9096,0.9517,0.81933,0.89507,0.43364,1.72193,0.86999,0.92243,0.0005149,0.0005149,0.0005149
51,452.993,1.66164,0.99102,0.8997,0.94585,0.7938,0.87139,0.41965,1.74934,0.88101,0.92745,0.000505,0.000505,0.000505
52,460.58,1.68068,1.00794,0.89654,0.92643,0.82956,0.88826,0.43959,1.74545,0.85878,0.92865,0.0004951,0.0004951,0.0004951
53,468.134,1.63293,0.96143,0.91019,0.92933,0.80408,0.87707,0.44569,1.71399,0.9161,0.92525,0.0004852,0.0004852,0.0004852
54,475.701,1.60615,0.94716,0.88493,0.9351,0.81957,0.87983,0.42051,1.74262,0.87812,0.92574,0.0004753,0.0004753,0.0004753
55,483.298,1.67331,0.96369,0.90338,0.90097,0.80045,0.86902,0.40862,1.80016,0.89323,0.93088,0.0004654,0.0004654,0.0004654
56,490.891,1.64739,0.96267,0.89538,0.89835,0.82628,0.86669,0.42302,1.76312,0.86684,0.92652,0.0004555,0.0004555,0.0004555
57,498.433,1.67824,0.95342,0.90915,0.90624,0.84943,0.89479,0.44061,1.72179,0.84903,0.91907,0.0004456,0.0004456,0.0004456
58,506.006,1.6203,0.94116,0.89102,0.93287,0.81611,0.88162,0.44004,1.71852,0.85108,0.92018,0.0004357,0.0004357,0.0004357
59,513.569,1.59699,0.93659,0.89742,0.9387,0.85048,0.89769,0.44918,1.70016,0.83406,0.9154,0.0004258,0.0004258,0.0004258
60,521.154,1.58008,0.89219,0.88253,0.92372,0.8284,0.88276,0.44604,1.71729,0.83364,0.92079,0.0004159,0.0004159,0.0004159
61,528.784,1.58669,0.9445,0.88621,0.92087,0.85006,0.8798,0.40621,1.82866,0.84656,0.9337,0.000406,0.000406,0.000406
62,536.364,1.57508,0.89936,0.89294,0.948,0.83742,0.9053,0.45055,1.71432,0.82719,0.91907,0.0003961,0.0003961,0.0003961
63,543.973,1.56164,0.90089,0.88232,0.93106,0.84585,0.90405,0.44527,1.71732,0.81312,0.91475,0.0003862,0.0003862,0.0003862
64,551.491,1.59972,0.91726,0.88581,0.93871,0.86416,0.91548,0.46285,1.67161,0.80106,0.91052,0.0003763,0.0003763,0.0003763
65,559.128,1.57304,0.88407,0.89063,0.95587,0.84755,0.90571,0.44338,1.7279,0.80626,0.92168,0.0003664,0.0003664,0.0003664
66,566.729,1.60885,0.9354,0.87923,0.95688,0.83573,0.89434,0.4435,1.71105,0.81422,0.91647,0.0003565,0.0003565,0.0003565
67,574.278,1.59249,0.88603,0.87787,0.9375,0.84744,0.89728,0.43872,1.72623,0.82225,0.92088,0.0003466,0.0003466,0.0003466
68,581.848,1.60904,0.89046,0.88175,0.9101,0.87557,0.90014,0.42866,1.72816,0.79402,0.92548,0.0003367,0.0003367,0.0003367
69,589.388,1.5913,0.86877,0.88774,0.91642,0.86041,0.89821,0.45364,1.66892,0.79541,0.91396,0.0003268,0.0003268,0.0003268
70,596.946,1.60621,0.88039,0.87952,0.92419,0.85805,0.89551,0.42528,1.79566,0.8082,0.92842,0.0003169,0.0003169,0.0003169
71,604.558,1.52859,0.87256,0.87176,0.94976,0.8384,0.90448,0.45416,1.67703,0.7858,0.9107,0.000307,0.000307,0.000307
72,612.143,1.54704,0.88462,0.87031,0.96501,0.85185,0.90984,0.45528,1.66579,0.76378,0.91091,0.0002971,0.0002971,0.0002971
73,619.918,1.55922,0.8918,0.87061,0.91913,0.85493,0.89457,0.44027,1.71207,0.78677,0.91534,0.0002872,0.0002872,0.0002872
74,627.766,1.47305,0.82285,0.8661,0.93843,0.87623,0.90424,0.45457,1.70024,0.76584,0.91596,0.0002773,0.0002773,0.0002773
75,635.352,1.58626,0.88994,0.87132,0.95999,0.85842,0.90971,0.45014,1.71146,0.77842,0.91832,0.0002674,0.0002674,0.0002674
76,642.966,1.50962,0.82228,0.86702,0.96756,0.84747,0.90302,0.4533,1.68995,0.76477,0.91389,0.0002575,0.0002575,0.0002575
77,650.559,1.4903,0.83377,0.87609,0.9274,0.87758,0.90587,0.43536,1.75814,0.78549,0.9254,0.0002476,0.0002476,0.0002476
78,658.218,1.49182,0.81875,0.87276,0.94764,0.84131,0.89521,0.43774,1.73919,0.78365,0.92326,0.0002377,0.0002377,0.0002377
79,665.872,1.57247,0.83687,0.86399,0.94235,0.8699,0.9087,0.44741,1.70816,0.76289,0.91966,0.0002278,0.0002278,0.0002278
80,673.441,1.48961,0.81124,0.86805,0.94748,0.86745,0.91266,0.4563,1.69058,0.75718,0.91431,0.0002179,0.0002179,0.0002179
81,681.017,1.48171,0.79867,0.86564,0.94265,0.8499,0.90301,0.44443,1.75097,0.77783,0.92367,0.000208,0.000208,0.000208
82,688.602,1.48407,0.80652,0.87353,0.93829,0.85543,0.9073,0.45307,1.69112,0.76217,0.91864,0.0001981,0.0001981,0.0001981
83,696.192,1.51025,0.82701,0.86859,0.93562,0.86453,0.90841,0.45849,1.68779,0.76522,0.91396,0.0001882,0.0001882,0.0001882
84,703.83,1.43823,0.78129,0.86005,0.94385,0.85621,0.91208,0.45256,1.71372,0.77411,0.91943,0.0001783,0.0001783,0.0001783
