epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,519.531,1.56451,0.80006,0.88462,0.93362,0.84009,0.90546,0.44351,1.70894,0.82186,0.91988,0.0005941,0.0005941,0.0005941
43,530.14,1.54722,0.79669,0.88252,0.97486,0.87648,0.93245,0.46266,1.66578,0.79851,0.91302,0.0005842,0.0005842,0.0005842
44,540.81,1.55582,0.7954,0.87795,0.96488,0.85309,0.91564,0.45457,1.68352,0.78478,0.914,0.0005743,0.0005743,0.0005743
45,551.439,1.51298,0.77269,0.87601,0.96517,0.87575,0.92823,0.47256,1.66772,0.7897,0.91209,0.0005644,0.0005644,0.0005644
46,562.148,1.53365,0.78957,0.87842,0.95226,0.90072,0.92776,0.47389,1.67307,0.77185,0.91687,0.0005545,0.0005545,0.0005545
47,572.868,1.50464,0.76067,0.87554,0.95422,0.87882,0.93143,0.46457,1.70557,0.77511,0.92015,0.0005446,0.0005446,0.0005446
48,583.482,1.5348,0.77739,0.87002,0.96925,0.89935,0.94542,0.48111,1.65991,0.7538,0.91439,0.0005347,0.0005347,0.0005347
49,594.272,1.5459,0.75896,0.87499,0.95727,0.87645,0.9351,0.4726,1.65176,0.76727,0.91036,0.0005248,0.0005248,0.0005248
50,604.889,1.50649,0.75057,0.88212,0.96311,0.88144,0.94433,0.49088,1.63961,0.74462,0.90624,0.0005149,0.0005149,0.0005149
51,615.679,1.46233,0.73875,0.8699,0.96576,0.8734,0.93321,0.47184,1.66095,0.76202,0.91197,0.000505,0.000505,0.000505
52,626.285,1.53518,0.77002,0.86965,0.96387,0.873,0.93207,0.4567,1.74529,0.78823,0.92492,0.0004951,0.0004951,0.0004951
53,636.908,1.43876,0.73826,0.87751,0.94588,0.88225,0.92554,0.46064,1.69063,0.76753,0.91798,0.0004852,0.0004852,0.0004852
54,647.569,1.41208,0.70339,0.85649,0.96874,0.89318,0.93301,0.47044,1.68049,0.76084,0.91432,0.0004753,0.0004753,0.0004753
55,658.223,1.46911,0.7246,0.87347,0.96333,0.89752,0.93682,0.46246,1.66704,0.76036,0.91524,0.0004654,0.0004654,0.0004654
56,668.88,1.45733,0.71297,0.86445,0.9673,0.90652,0.93791,0.48713,1.63783,0.7341,0.90842,0.0004555,0.0004555,0.0004555
57,679.498,1.47996,0.71771,0.87402,0.95575,0.90262,0.92892,0.48634,1.6156,0.7226,0.90813,0.0004456,0.0004456,0.0004456
58,690.087,1.44415,0.71536,0.87003,0.94885,0.90479,0.9404,0.47911,1.64356,0.74285,0.91004,0.0004357,0.0004357,0.0004357
59,700.751,1.41559,0.70524,0.8671,0.93088,0.89806,0.93445,0.46269,1.67281,0.75779,0.91482,0.0004258,0.0004258,0.0004258
60,711.34,1.44301,0.71454,0.86012,0.94845,0.88715,0.92901,0.4661,1.67312,0.75242,0.91719,0.0004159,0.0004159,0.0004159
61,722.096,1.40606,0.70734,0.85731,0.9479,0.88997,0.91723,0.4496,1.69607,0.76241,0.91787,0.000406,0.000406,0.000406
62,732.782,1.42984,0.69385,0.8764,0.94028,0.92453,0.93928,0.46849,1.68256,0.74546,0.91722,0.0003961,0.0003961,0.0003961
63,743.42,1.35748,0.68068,0.85084,0.96011,0.90721,0.93352,0.46993,1.66771,0.73426,0.91829,0.0003862,0.0003862,0.0003862
64,754.609,1.39685,0.68962,0.85576,0.9616,0.92173,0.94389,0.48533,1.64977,0.73211,0.91424,0.0003763,0.0003763,0.0003763
65,765.148,1.36008,0.66756,0.85868,0.94547,0.90514,0.93633,0.48192,1.66608,0.73703,0.91194,0.0003664,0.0003664,0.0003664
66,775.643,1.41189,0.69867,0.85294,0.95491,0.89664,0.92807,0.4644,1.69084,0.73594,0.91609,0.0003565,0.0003565,0.0003565
67,786.148,1.37778,0.66265,0.85164,0.94814,0.89546,0.92115,0.47258,1.67301,0.73508,0.91537,0.0003466,0.0003466,0.0003466
68,796.673,1.38538,0.66731,0.8504,0.9642,0.90702,0.93777,0.47051,1.68702,0.71606,0.91544,0.0003367,0.0003367,0.0003367
69,807.169,1.37953,0.66471,0.85697,0.94969,0.91336,0.9478,0.48512,1.62241,0.7182,0.90383,0.0003268,0.0003268,0.0003268
70,817.686,1.39903,0.6577,0.84985,0.95678,0.91247,0.94374,0.48038,1.656,0.72491,0.90521,0.0003169,0.0003169,0.0003169
